"id","lie","self","sex","age","pr_speed","wrkn_mem","mrt"
35,"yes","yes","F",19,27,15,1217.9537037037
36,"no","no","F",19,20,28,1422.15740740741
36,"no","yes","F",19,20,28,1104.75925925926
36,"yes","no","F",19,20,28,1962.92660550459
36,"yes","yes","F",19,20,28,1509.30555555556
37,"no","no","F",19,23,16,1472.36448598131
37,"no","yes","F",19,23,16,1274.96226415094
37,"yes","no","F",19,23,16,1747.89361702128
37,"yes","yes","F",19,23,16,1560.08333333333
38,"no","no","F",23,26,18,1173.92523364486
38,"no","yes","F",23,26,18,936.523364485981
38,"yes","no","F",23,26,18,1460.40952380952
38,"yes","yes","F",23,26,18,1126.86538461538
39,"no","no","F",19,29,22,1153.93137254902
39,"no","yes","F",19,29,22,1025.11224489796
39,"yes","no","F",19,29,22,1543.41836734694
39,"yes","yes","F",19,29,22,1365.54945054945
40,"no","no","F",19,32,25,1673.95192307692
40,"no","yes","F",19,32,25,1275.29807692308
40,"yes","no","F",19,32,25,1996.09090909091
40,"yes","yes","F",19,32,25,1647
41,"no","no","M",20,18,17,958.5
41,"no","yes","M",20,18,17,883.527777777778
41,"yes","no","M",20,18,17,1213.34905660377
41,"yes","yes","M",20,18,17,1052.60185185185
42,"no","no","F",21,19,18,1441.67010309278
42,"no","yes","F",21,19,18,1156.5145631068
42,"yes","no","F",21,19,18,1521.91397849462
42,"yes","yes","F",21,19,18,1300.51401869159
43,"no","no","F",19,21,21,991.95145631068
43,"no","yes","F",19,21,21,751.076190476191
43,"yes","no","F",19,21,21,1033.57291666667
43,"yes","yes","F",19,21,21,867.821782178218
44,"no","no","F",25,22,21,1081.83177570093
44,"no","yes","F",25,22,21,880.045871559633
44,"yes","no","F",25,22,21,1215.11764705882
44,"yes","yes","F",25,22,21,1003.93333333333
45,"no","no","F",19,27,18,1150.41509433962
45,"no","yes","F",19,27,18,923.777777777778
45,"yes","no","F",19,27,18,1350.88785046729
45,"yes","yes","F",19,27,18,1030.6880733945
46,"no","no","F",19,24,17,1118.56603773585
46,"no","yes","F",19,24,17,812.798076923077
46,"yes","no","F",19,24,17,1476.13725490196
46,"yes","yes","F",19,24,17,1115.95789473684
47,"no","no","M",19,22,16,1665.50961538462
47,"no","yes","M",19,22,16,1421.07547169811
47,"yes","no","M",19,22,16,2012.14018691589
47,"yes","yes","M",19,22,16,1654.85981308411
48,"no","no","F",22,17,23,1476.25961538462
48,"no","yes","F",22,17,23,1334.2
48,"yes","no","F",22,17,23,1501.77
48,"yes","yes","F",22,17,23,1361.17894736842
49,"no","no","F",19,19,19,1711.87046632124
49,"no","yes","F",19,19,19,1432.45771144279
49,"yes","no","F",19,19,19,1805.17647058824
49,"yes","yes","F",19,19,19,1433.53201970443
50,"no","no","F",19,24,12,1658.33333333333
50,"no","yes","F",19,24,12,1380.64077669903
50,"yes","no","F",19,24,12,2014.9
50,"yes","yes","F",19,24,12,1411.64210526316
51,"no","no","F",19,21,18,1214.59259259259
51,"no","yes","F",19,21,18,1027.01834862385
51,"yes","no","F",19,21,18,1851.39449541284
51,"yes","yes","F",19,21,18,1516.80733944954
52,"no","no","F",19,24,18,1313.68518518519
52,"no","yes","F",19,24,18,986.926605504587
52,"yes","no","F",19,24,18,1669.83653846154
52,"yes","yes","F",19,24,18,1458.2962962963
53,"no","no","F",19,18,14,975.636363636364
